id,n_iso,n_fp,sdf_min
RELIGIOUSmosque_mesh0057,3268,399,-0.2275
RELIGIOUSmosque_mesh0067,1641,546,-0.1278
RELIGIOUSmosque_mesh0070,1119,485,-0.1008
RELIGIOUSmosque_mesh0083,2508,618,-0.1089
RELIGIOUSmosque_mesh0087,2511,412,-0.1149
RELIGIOUSmosque_mesh0089,643,148,-0.0394
RELIGIOUSmosque_mesh0098,1244,371,-0.0353
RELIGIOUSmosque_mesh0119,770,477,-0.0464
RELIGIOUSmosque_mesh0143,519,216,-0.0391
RELIGIOUSmosque_mesh0146,729,113,-0.0408
RELIGIOUSmosque_mesh0147,3700,745,-0.0321
RELIGIOUSmosque_mesh0158,198,108,-0.0135
RELIGIOUSmosque_mesh0161,232,140,-0.0201
RELIGIOUSmosque_mesh0164,119,83,-0.0406
RELIGIOUSmosque_mesh0182,6139,729,-0.1747
RELIGIOUSmosque_mesh0187,3447,552,-0.1927
RELIGIOUSmosque_mesh0198,7862,886,-0.2246
RELIGIOUSmosque_mesh0201,891,374,-0.0491
RELIGIOUSmosque_mesh0211,235,162,-0.0203
RELIGIOUSmosque_mesh0212,449,197,-0.0467
RELIGIOUSmosque_mesh0262,129,36,-0.0703
RELIGIOUSmosque_mesh0276,4094,898,-0.1387
RELIGIOUSmosque_mesh0279,757,165,-0.0818
RELIGIOUSmosque_mesh0286,727,289,-0.0501
RELIGIOUSmosque_mesh0294,345,128,-0.0417
RELIGIOUSmosque_mesh0309,1276,315,-0.0809
RELIGIOUSmosque_mesh0341,233,50,-0.0274
RELIGIOUSmosque_mesh0346,1514,477,-0.0688
RELIGIOUSmosque_mesh0367,683,238,-0.0547
RELIGIOUSmosque_mesh0370,301,195,-0.0142
RELIGIOUSmosque_mesh0371,76,53,-0.0147
RELIGIOUSmosque_mesh0373,2321,669,-0.1329
RELIGIOUSmosque_mesh0400,21901,2151,-0.2525
RELIGIOUSmosque_mesh0405,115,59,-0.0896
RELIGIOUSmosque_mesh0414,545,205,-0.0417
RELIGIOUSmosque_mesh0426,1113,264,-0.0186
RELIGIOUSmosque_mesh0441,1562,349,-0.0981
RELIGIOUSmosque_mesh0483,765,313,-0.0934
RELIGIOUSmosque_mesh0489,7987,939,-0.1703
RELIGIOUSmosque_mesh0493,4038,367,-0.1447
RELIGIOUSmosque_mesh0508,657,263,-0.0298
RELIGIOUSmosque_mesh0581,1937,617,-0.0875
RELIGIOUSmosque_mesh0606,1874,346,-0.1193
RELIGIOUSmosque_mesh0639,1852,553,-0.0856
RELIGIOUSmosque_mesh0659,260,165,-0.0204
RELIGIOUSmosque_mesh0665,6148,506,-0.2201
RELIGIOUSmosque_mesh0687,597,168,-0.0547
RELIGIOUSmosque_mesh0714,4936,1131,-0.1891
RELIGIOUSmosque_mesh0718,1199,452,-0.0893
RELIGIOUSmosque_mesh0734,862,222,-0.0751
RELIGIOUSmosque_mesh0735,10786,613,-0.2154
RELIGIOUSmosque_mesh0743,3473,411,-0.1211
RELIGIOUSmosque_mesh0749,4646,866,-0.1730
RELIGIOUSmosque_mesh0750,33694,2401,-0.3785
RELIGIOUSmosque_mesh0769,9445,589,-0.2636
RELIGIOUSmosque_mesh0771,7593,731,-0.1302
RELIGIOUSmosque_mesh0788,12018,648,-0.2644
RELIGIOUSmosque_mesh0789,6691,1127,-0.2323
RELIGIOUSmosque_mesh0799,776,329,-0.0223
RELIGIOUSmosque_mesh0811,14367,1079,-0.2733
RELIGIOUSmosque_mesh0812,543,275,-0.0502
RELIGIOUSmosque_mesh0819,10564,626,-0.2497
RELIGIOUSmosque_mesh0823,7240,459,-0.2241
RELIGIOUSmosque_mesh0839,970,386,-0.0619
RELIGIOUSmuseum_mesh1180,352,108,-0.0214
RELIGIOUSmuseum_mesh1645,269,116,-0.0076
RELIGIOUSmuseum_mesh2349,8437,530,-0.2236
RELIGIOUSmuseum_mesh2420,1326,453,-0.0677
RELIGIOUSmuseum_mesh2444,12247,807,-0.2112
RELIGIOUSoffice_building_mesh1049,254,106,-0.0357
RELIGIOUSoffice_building_mesh1193,1050,348,-0.0197
RELIGIOUSoffice_building_mesh3369,776,265,-0.0129
RELIGIOUSoffice_building_mesh3563,750,434,-0.0386
RELIGIOUSpalace_mesh0061,4100,709,-0.1810
RELIGIOUSpalace_mesh0215,1037,253,-0.0545
RELIGIOUSpalace_mesh0291,1752,551,-0.0828
RELIGIOUSpalace_mesh0337,6928,535,-0.2577
RELIGIOUSpalace_mesh0482,772,210,-0.1106
RELIGIOUSpalace_mesh0640,1220,513,-0.0562
RELIGIOUSpalace_mesh0657,3996,552,-0.0359
RELIGIOUSpalace_mesh0986,2387,522,-0.0811
RELIGIOUSpalace_mesh1026,19491,999,-0.2449
RELIGIOUSpalace_mesh1125,11225,1350,-0.2116
RELIGIOUSpalace_mesh1154,10482,585,-0.2137
RELIGIOUSpalace_mesh1447,16339,1146,-0.2299
RELIGIOUSschool_building_mesh0233,1104,447,-0.0406
RELIGIOUSschool_building_mesh0454,329,217,-0.0306
RELIGIOUSschool_building_mesh0643,1122,357,-0.1230
RELIGIOUSschool_building_mesh0745,2031,748,-0.0641
RELIGIOUSschool_building_mesh0773,355,132,-0.0300
RELIGIOUSschool_building_mesh0799,348,256,-0.0305
RELIGIOUSschool_building_mesh0855,498,85,-0.1031
RELIGIOUSschool_building_mesh0880,1275,306,-0.0627
RELIGIOUSschool_building_mesh1194,343,160,-0.0737
RELIGIOUStemple_mesh0026,1915,572,-0.0901
RELIGIOUStemple_mesh0142,479,213,-0.0442
RELIGIOUStemple_mesh0148,4636,985,-0.1156
RELIGIOUStemple_mesh0162,9682,1136,-0.1889
RELIGIOUStemple_mesh0174,512,291,-0.0550
RELIGIOUStemple_mesh0227,823,515,-0.0453
RELIGIOUStemple_mesh0245,2184,722,-0.1211
RELIGIOUStemple_mesh0265,730,340,-0.0142
RELIGIOUStemple_mesh0266,1901,379,-0.1374
RELIGIOUStemple_mesh0287,2083,398,-0.0742
RELIGIOUStemple_mesh0396,501,264,-0.0164
RELIGIOUStemple_mesh0399,1338,601,-0.0590
RELIGIOUStemple_mesh0428,1997,526,-0.0419
RELIGIOUStemple_mesh0823,2917,678,-0.0351
RELIGIOUStemple_mesh0913,4426,580,-0.1789
RELIGIOUStemple_mesh1032,2963,340,-0.1564
RELIGIOUStemple_mesh1096,9521,1897,-0.1013
RELIGIOUStemple_mesh1165,2482,424,-0.1632
RELIGIOUStemple_mesh1192,4023,767,-0.1293
RELIGIOUStemple_mesh1238,1717,824,-0.1009
RELIGIOUStemple_mesh1300,3523,763,-0.1243
RELIGIOUStemple_mesh1314,2946,552,-0.1584
RELIGIOUStemple_mesh1315,537,176,-0.0380
RELIGIOUStemple_mesh1519,24868,937,-0.3058
RELIGIOUStemple_mesh1585,3676,747,-0.0993
RELIGIOUStemple_mesh1631,8434,807,-0.2255
RELIGIOUStemple_mesh1731,14106,1716,-0.2265
RELIGIOUStemple_mesh1847,704,317,-0.0445
RELIGIOUStemple_mesh1871,3664,788,-0.0732
RELIGIOUStemple_mesh1885,723,231,-0.1056
RELIGIOUStemple_mesh1905,8692,843,-0.2166
RELIGIOUStemple_mesh1913,1419,229,-0.1049
RELIGIOUStemple_mesh1935,6854,681,-0.2087
RELIGIOUStemple_mesh1956,592,267,-0.0491
RELIGIOUStemple_mesh1968,137,81,-0.0104
RELIGIOUStemple_mesh1971,327,176,-0.0767
RELIGIOUStemple_mesh1992,3776,496,-0.2046
RELIGIOUStemple_mesh1993,8714,1113,-0.1415
RELIGIOUStemple_mesh2073,1399,308,-0.1432
RELIGIOUSvilla_mesh1437,2895,700,-0.0718
RELIGIOUSvilla_mesh5382,8911,830,-0.1740
RESIDENTIALcastle_mesh0771,4449,1455,-0.0858
RESIDENTIALcastle_mesh1086,520,150,-0.0752
RESIDENTIALcastle_mesh2168,14310,1373,-0.2386
RESIDENTIALcastle_mesh2926,809,190,-0.0286
RESIDENTIALcastle_mesh2942,381,294,-0.0164
RESIDENTIALcastle_mesh3050,899,215,-0.0686
RESIDENTIALcastle_mesh3238,2525,455,-0.1367
RESIDENTIALcathedral_mesh0781,2786,1236,-0.1569
RESIDENTIALcathedral_mesh0850,1545,1170,-0.0250
RESIDENTIALcathedral_mesh0855,1014,418,-0.0886
RESIDENTIALcathedral_mesh0909,1392,737,-0.0723
RESIDENTIALchurch_mesh0145,810,421,-0.0191
RESIDENTIALchurch_mesh0833,238,144,-0.0172
RESIDENTIALchurch_mesh1834,24279,1448,-0.3710
RESIDENTIALchurch_mesh1845,1379,1025,-0.0298
RESIDENTIALchurch_mesh1968,4241,498,-0.1885
RESIDENTIALchurch_mesh2138,11541,835,-0.2902
RESIDENTIALchurch_mesh2161,1005,259,-0.0972
RESIDENTIALchurch_mesh2951,26686,1102,-0.3725
RESIDENTIALchurch_mesh2988,11762,1394,-0.2358
RESIDENTIALchurch_mesh3093,743,478,-0.0423
RESIDENTIALcity_hall_mesh0361,584,364,-0.0100
RESIDENTIALcity_hall_mesh0421,394,250,-0.0106
RESIDENTIALfactory_mesh0019,7113,394,-0.1438
RESIDENTIALfactory_mesh0358,1379,193,-0.1233
RESIDENTIALfactory_mesh0789,187,148,-0.0089
RESIDENTIALfactory_mesh1231,3440,1016,-0.1399
RESIDENTIALfactory_mesh1345,622,381,-0.0556
RESIDENTIALfactory_mesh1620,603,511,-0.0159
RESIDENTIALhotel_building_mesh0476,626,139,-0.0316
RESIDENTIALhotel_building_mesh0502,14360,1267,-0.2318
RESIDENTIALhotel_building_mesh0512,6555,782,-0.2046
RESIDENTIALhotel_building_mesh0580,4969,966,-0.1639
RESIDENTIALhotel_building_mesh0607,2743,960,-0.0217
RESIDENTIALhotel_building_mesh0638,7169,1960,-0.1467
RESIDENTIALhotel_building_mesh0856,676,472,-0.0399
RESIDENTIALhotel_building_mesh1212,2814,713,-0.1351
RESIDENTIALhouse_mesh0059,2358,924,-0.0132
RESIDENTIALhouse_mesh0060,4695,538,-0.2020
RESIDENTIALhouse_mesh0063,7192,1206,-0.0986
RESIDENTIALhouse_mesh0067,714,606,-0.0100
RESIDENTIALhouse_mesh0074,896,598,-0.0375
RESIDENTIALhouse_mesh0077,237,185,-0.0116
RESIDENTIALhouse_mesh0086,7240,880,-0.2090
RESIDENTIALhouse_mesh0089,10080,1183,-0.1897
RESIDENTIALhouse_mesh0095,2196,305,-0.1974
RESIDENTIALhouse_mesh0096,283,196,-0.0139
RESIDENTIALhouse_mesh0099,695,409,-0.0426
RESIDENTIALhouse_mesh0100,568,130,-0.0821
RESIDENTIALhouse_mesh0109,5810,1519,-0.1077
RESIDENTIALhouse_mesh0139,14397,1025,-0.3194
RESIDENTIALhouse_mesh0166,11335,1591,-0.2173
RESIDENTIALhouse_mesh0172,1148,752,-0.0146
RESIDENTIALhouse_mesh0185,529,323,-0.0209
RESIDENTIALhouse_mesh0217,13879,1127,-0.2998
RESIDENTIALhouse_mesh0230,5416,1796,-0.0951
RESIDENTIALhouse_mesh0244,2487,655,-0.1163
RESIDENTIALhouse_mesh0253,602,377,-0.0347
RESIDENTIALhouse_mesh0289,15883,1705,-0.2871
RESIDENTIALhouse_mesh0322,229,156,-0.0065
RESIDENTIALhouse_mesh0348,1104,399,-0.0746
RESIDENTIALhouse_mesh0354,1959,473,-0.0326
RESIDENTIALhouse_mesh0358,14922,1323,-0.3108
RESIDENTIALhouse_mesh0375,5267,927,-0.0990
RESIDENTIALhouse_mesh0379,10951,1070,-0.2194
RESIDENTIALhouse_mesh0386,102,57,-0.0402
RESIDENTIALhouse_mesh0391,936,599,-0.0167
RESIDENTIALhouse_mesh0394,1230,257,-0.0956
RESIDENTIALhouse_mesh0402,13949,1375,-0.2263
RESIDENTIALhouse_mesh0422,189,132,-0.0089
RESIDENTIALhouse_mesh0435,514,171,-0.0487
RESIDENTIALhouse_mesh0440,140,67,-0.0116
RESIDENTIALhouse_mesh0452,1457,526,-0.1167
RESIDENTIALhouse_mesh0456,715,356,-0.0139
RESIDENTIALhouse_mesh0458,15466,1421,-0.1556
RESIDENTIALhouse_mesh0467,788,288,-0.0547
RESIDENTIALhouse_mesh0471,484,223,-0.0277
RESIDENTIALhouse_mesh0476,1259,510,-0.0383
RESIDENTIALhouse_mesh0477,154,100,-0.0053
RESIDENTIALhouse_mesh0498,538,366,-0.0183
RESIDENTIALhouse_mesh0502,6875,799,-0.3432
RESIDENTIALhouse_mesh0516,189,156,-0.0225
RESIDENTIALhouse_mesh0534,968,530,-0.0429
RESIDENTIALhouse_mesh0540,605,338,-0.0140
RESIDENTIALhouse_mesh0565,7201,1089,-0.1931
RESIDENTIALhouse_mesh0571,2591,350,-0.1461
RESIDENTIALhouse_mesh0575,4316,1078,-0.0648
RESIDENTIALhouse_mesh0587,483,129,-0.0773
RESIDENTIALhouse_mesh0600,3561,1060,-0.1230
RESIDENTIALhouse_mesh0641,1641,592,-0.0909
RESIDENTIALhouse_mesh0642,23757,1493,-0.3155
RESIDENTIALhouse_mesh0648,1656,465,-0.0312
RESIDENTIALhouse_mesh0658,344,253,-0.0163
RESIDENTIALhouse_mesh0673,1782,518,-0.1361
RESIDENTIALhouse_mesh0684,1431,1118,-0.0284
RESIDENTIALhouse_mesh0717,1088,527,-0.0544
RESIDENTIALhouse_mesh0718,2616,1675,-0.0352
RESIDENTIALhouse_mesh0737,784,421,-0.0698
RESIDENTIALhouse_mesh0769,499,241,-0.0350
RESIDENTIALhouse_mesh0776,298,224,-0.0133
RESIDENTIALhouse_mesh0782,1321,225,-0.1237
RESIDENTIALhouse_mesh0794,10065,795,-0.2106
RESIDENTIALhouse_mesh0818,346,188,-0.0155
RESIDENTIALhouse_mesh0821,1363,391,-0.0339
RESIDENTIALhouse_mesh0829,2499,1026,-0.0223
RESIDENTIALhouse_mesh0836,912,423,-0.0358
RESIDENTIALhouse_mesh0844,2062,990,-0.0617
RESIDENTIALhouse_mesh0845,844,441,-0.0181
RESIDENTIALhouse_mesh0875,5877,1855,-0.1144
RESIDENTIALhouse_mesh0879,279,147,-0.0136
RESIDENTIALhouse_mesh0897,2923,340,-0.0300
RESIDENTIALhouse_mesh0904,244,86,-0.0382
RESIDENTIALhouse_mesh0909,4454,1496,-0.0175
RESIDENTIALhouse_mesh0915,457,317,-0.0227
RESIDENTIALhouse_mesh0924,608,155,-0.0393
RESIDENTIALhouse_mesh0933,1480,380,-0.0384
RESIDENTIALhouse_mesh0939,16390,1141,-0.2710
RESIDENTIALhouse_mesh0944,305,216,-0.0127
RESIDENTIALhouse_mesh0946,3458,862,-0.1108
RESIDENTIALhouse_mesh0974,227,81,-0.0568
RESIDENTIALhouse_mesh0976,86,50,-0.0217
RESIDENTIALhouse_mesh0989,545,158,-0.0879
RESIDENTIALhouse_mesh0992,2402,894,-0.0661
RESIDENTIALhouse_mesh0993,2065,562,-0.0176
RESIDENTIALhouse_mesh1009,24914,1706,-0.3411
RESIDENTIALhouse_mesh1018,6610,563,-0.2221
RESIDENTIALhouse_mesh1043,516,261,-0.0336
RESIDENTIALhouse_mesh1056,2873,859,-0.0672
RESIDENTIALhouse_mesh1058,384,332,-0.0359
RESIDENTIALhouse_mesh1062,285,183,-0.0279
RESIDENTIALhouse_mesh1067,2090,888,-0.0662
RESIDENTIALhouse_mesh1068,10465,768,-0.2086
RESIDENTIALhouse_mesh1080,14051,1052,-0.2470
RESIDENTIALhouse_mesh1097,711,404,-0.0119
RESIDENTIALhouse_mesh1104,12607,1422,-0.2171
RESIDENTIALhouse_mesh1110,866,171,-0.0833
RESIDENTIALhouse_mesh1113,1836,445,-0.1346
RESIDENTIALhouse_mesh1115,14618,1480,-0.1545
RESIDENTIALhouse_mesh1131,12746,1353,-0.2253
RESIDENTIALhouse_mesh1138,667,227,-0.0244
RESIDENTIALhouse_mesh1142,398,221,-0.0144
RESIDENTIALhouse_mesh1146,2962,1613,-0.0222
RESIDENTIALhouse_mesh1155,744,284,-0.0129
RESIDENTIALhouse_mesh1156,5108,1732,-0.1464
RESIDENTIALhouse_mesh1159,2863,828,-0.0792
RESIDENTIALhouse_mesh1205,203,131,-0.0094
RESIDENTIALhouse_mesh1238,173,86,-0.0161
RESIDENTIALhouse_mesh1264,2306,1565,-0.0325
RESIDENTIALhouse_mesh1281,62,33,-0.0102
RESIDENTIALhouse_mesh1329,486,436,-0.0173
RESIDENTIALhouse_mesh1357,2021,665,-0.0208
RESIDENTIALhouse_mesh1373,480,322,-0.0135
RESIDENTIALhouse_mesh1378,1624,675,-0.1207
RESIDENTIALhouse_mesh1404,1272,754,-0.0311
RESIDENTIALhouse_mesh1425,8,7,-0.0092
RESIDENTIALhouse_mesh1430,418,272,-0.0140
RESIDENTIALhouse_mesh1442,307,187,-0.0205
RESIDENTIALhouse_mesh1469,1863,481,-0.0640
RESIDENTIALhouse_mesh1498,2829,496,-0.1392
RESIDENTIALhouse_mesh1522,985,415,-0.0131
RESIDENTIALhouse_mesh1538,578,260,-0.0125
RESIDENTIALhouse_mesh1541,1445,1086,-0.0143
RESIDENTIALhouse_mesh1571,1053,373,-0.0144
RESIDENTIALhouse_mesh1581,2967,598,-0.0942
RESIDENTIALhouse_mesh1592,595,463,-0.0289
RESIDENTIALhouse_mesh1649,692,177,-0.0708
RESIDENTIALhouse_mesh1674,999,379,-0.0214
RESIDENTIALhouse_mesh1694,1686,694,-0.0639
RESIDENTIALhouse_mesh1704,1784,800,-0.0204
RESIDENTIALhouse_mesh1719,509,278,-0.0276
RESIDENTIALhouse_mesh1720,844,524,-0.0175
RESIDENTIALhouse_mesh1740,217,105,-0.0194
RESIDENTIALhouse_mesh1792,18996,2401,-0.1590
RESIDENTIALhouse_mesh1834,1273,274,-0.0883
RESIDENTIALhouse_mesh1878,203,88,-0.0152
RESIDENTIALhouse_mesh1891,3786,976,-0.1409
RESIDENTIALhouse_mesh1911,279,132,-0.0219
RESIDENTIALhouse_mesh1927,495,309,-0.0277
RESIDENTIALhouse_mesh1935,1977,1617,-0.0696
RESIDENTIALhouse_mesh1946,1738,354,-0.0981
RESIDENTIALhouse_mesh2015,2894,1323,-0.1358
RESIDENTIALhouse_mesh2044,804,349,-0.0480
RESIDENTIALhouse_mesh2075,601,437,-0.0265
RESIDENTIALhouse_mesh2101,19221,1811,-0.2402
RESIDENTIALhouse_mesh2108,3713,917,-0.0354
RESIDENTIALhouse_mesh2113,692,234,-0.0600
RESIDENTIALhouse_mesh2115,1406,481,-0.0675
RESIDENTIALhouse_mesh2144,1209,631,-0.0190
RESIDENTIALhouse_mesh2165,291,156,-0.0221
RESIDENTIALhouse_mesh2174,362,222,-0.0137
RESIDENTIALhouse_mesh2200,521,336,-0.0192
RESIDENTIALhouse_mesh2207,3820,461,-0.1647
RESIDENTIALhouse_mesh2215,13492,1161,-0.2802
RESIDENTIALhouse_mesh2266,1424,391,-0.0163
RESIDENTIALhouse_mesh2268,440,182,-0.0577
RESIDENTIALhouse_mesh2277,4746,628,-0.1213
RESIDENTIALhouse_mesh2317,12,9,-0.0057
RESIDENTIALhouse_mesh2321,13942,637,-0.2001
RESIDENTIALhouse_mesh2326,1583,607,-0.0649
RESIDENTIALhouse_mesh2331,65,44,-0.0113
RESIDENTIALhouse_mesh2337,163,108,-0.0103
RESIDENTIALhouse_mesh2349,16926,2091,-0.2213
RESIDENTIALhouse_mesh2381,3380,1625,-0.0466
RESIDENTIALhouse_mesh2383,563,348,-0.0182
RESIDENTIALhouse_mesh2397,9153,1149,-0.0747
RESIDENTIALhouse_mesh2413,568,167,-0.0812
RESIDENTIALhouse_mesh2443,469,303,-0.0443
RESIDENTIALhouse_mesh2465,8624,1421,-0.1828
RESIDENTIALhouse_mesh2467,105,83,-0.0073
RESIDENTIALhouse_mesh2487,6402,1541,-0.1633
RESIDENTIALhouse_mesh2490,2237,889,-0.0718
RESIDENTIALhouse_mesh2495,9610,897,-0.1955
RESIDENTIALhouse_mesh2523,1113,377,-0.0523
RESIDENTIALhouse_mesh2529,5305,696,-0.1663
RESIDENTIALhouse_mesh2566,3629,1351,-0.0403
RESIDENTIALhouse_mesh2574,1900,466,-0.0648
RESIDENTIALhouse_mesh2575,1315,339,-0.0876
RESIDENTIALhouse_mesh2576,824,657,-0.0328
RESIDENTIALhouse_mesh2588,4383,1386,-0.1632
RESIDENTIALhouse_mesh2592,9705,1064,-0.2325
RESIDENTIALhouse_mesh2604,1806,1382,-0.0252
RESIDENTIALhouse_mesh2614,1330,520,-0.0658
RESIDENTIALhouse_mesh2627,1863,1004,-0.0400
RESIDENTIALhouse_mesh2633,764,442,-0.0399
RESIDENTIALhouse_mesh2651,375,254,-0.0177
RESIDENTIALhouse_mesh2709,1308,524,-0.0251
RESIDENTIALhouse_mesh2714,6089,1482,-0.0511
RESIDENTIALhouse_mesh2720,4936,629,-0.1526
RESIDENTIALhouse_mesh2724,4023,464,-0.1734
RESIDENTIALhouse_mesh2735,1037,160,-0.1396
RESIDENTIALhouse_mesh2753,199,141,-0.0144
RESIDENTIALhouse_mesh2761,1521,245,-0.1696
RESIDENTIALhouse_mesh2789,296,56,-0.0707
RESIDENTIALhouse_mesh2812,292,218,-0.0188
RESIDENTIALhouse_mesh2815,1678,693,-0.0507
RESIDENTIALhouse_mesh2821,735,214,-0.0990
RESIDENTIALhouse_mesh2838,1187,259,-0.1158
RESIDENTIALhouse_mesh2840,771,305,-0.0624
RESIDENTIALhouse_mesh2842,1467,389,-0.0871
RESIDENTIALhouse_mesh2872,441,291,-0.0197
RESIDENTIALhouse_mesh2874,273,117,-0.0504
RESIDENTIALhouse_mesh2948,6544,1828,-0.0642
RESIDENTIALhouse_mesh2956,3468,1078,-0.1054
RESIDENTIALhouse_mesh2965,19837,1668,-0.2275
RESIDENTIALhouse_mesh2975,897,403,-0.0237
RESIDENTIALhouse_mesh2982,5359,676,-0.1676
RESIDENTIALhouse_mesh2983,519,165,-0.0685
RESIDENTIALhouse_mesh2993,259,144,-0.0100
RESIDENTIALhouse_mesh3002,5980,1422,-0.1233
RESIDENTIALhouse_mesh3007,414,326,-0.0230
RESIDENTIALhouse_mesh3034,280,241,-0.0115
RESIDENTIALhouse_mesh3058,68,66,-0.0105
RESIDENTIALhouse_mesh3059,5051,843,-0.0279
RESIDENTIALhouse_mesh3062,221,84,-0.0627
RESIDENTIALhouse_mesh3075,778,216,-0.0901
RESIDENTIALhouse_mesh3080,5364,1355,-0.1023
RESIDENTIALhouse_mesh3083,1031,792,-0.0190
RESIDENTIALhouse_mesh3094,1271,426,-0.0822
RESIDENTIALhouse_mesh3132,2879,747,-0.1753
RESIDENTIALhouse_mesh3134,1979,458,-0.1096
RESIDENTIALhouse_mesh3154,2364,643,-0.0649
RESIDENTIALhouse_mesh3163,1287,204,-0.1442
RESIDENTIALhouse_mesh3176,632,281,-0.0273
RESIDENTIALhouse_mesh3178,1320,269,-0.0886
RESIDENTIALhouse_mesh3196,85,56,-0.0107
RESIDENTIALhouse_mesh3219,2247,464,-0.1116
RESIDENTIALhouse_mesh3223,13629,1010,-0.2473
RESIDENTIALhouse_mesh3228,11010,1256,-0.1540
RESIDENTIALhouse_mesh3236,2693,1011,-0.0690
RESIDENTIALhouse_mesh3240,20320,1416,-0.3277
RESIDENTIALhouse_mesh3251,2405,731,-0.0230
RESIDENTIALhouse_mesh3294,1290,469,-0.0743
RESIDENTIALhouse_mesh3359,3027,377,-0.1545
RESIDENTIALhouse_mesh3363,679,233,-0.1057
RESIDENTIALhouse_mesh3367,425,197,-0.0166
RESIDENTIALhouse_mesh3368,658,365,-0.0204
RESIDENTIALhouse_mesh3372,175,103,-0.0213
RESIDENTIALhouse_mesh3377,302,191,-0.0146
RESIDENTIALhouse_mesh3414,864,190,-0.0472
RESIDENTIALhouse_mesh3433,3795,663,-0.1277
RESIDENTIALhouse_mesh3434,4575,726,-0.1748
RESIDENTIALhouse_mesh3440,224,148,-0.0302
RESIDENTIALhouse_mesh3453,220,133,-0.0095
RESIDENTIALhouse_mesh3455,1048,319,-0.0589
RESIDENTIALhouse_mesh3480,709,221,-0.0423
RESIDENTIALhouse_mesh3484,3686,563,-0.1797
RESIDENTIALhouse_mesh3490,571,299,-0.0186
RESIDENTIALhouse_mesh3496,5865,765,-0.1756
RESIDENTIALhouse_mesh3501,245,187,-0.0132
RESIDENTIALhouse_mesh3507,2227,970,-0.0600
RESIDENTIALhouse_mesh3513,424,367,-0.0098
RESIDENTIALhouse_mesh3518,5096,977,-0.1106
RESIDENTIALhouse_mesh3534,383,171,-0.0204
RESIDENTIALhouse_mesh3568,8,7,-0.0083
RESIDENTIALhouse_mesh3650,1960,394,-0.0919
RESIDENTIALhouse_mesh3652,5517,1263,-0.1285
RESIDENTIALhouse_mesh3673,325,229,-0.0187
RESIDENTIALhouse_mesh3689,272,212,-0.0122
RESIDENTIALhouse_mesh3714,14033,1102,-0.2300
RESIDENTIALhouse_mesh3723,2529,771,-0.0514
RESIDENTIALhouse_mesh3739,568,357,-0.0366
RESIDENTIALhouse_mesh3746,2276,935,-0.0274
RESIDENTIALhouse_mesh3750,66,39,-0.0273
RESIDENTIALhouse_mesh3756,5352,838,-0.1670
RESIDENTIALhouse_mesh3790,751,411,-0.0158
RESIDENTIALhouse_mesh3794,375,97,-0.0787
RESIDENTIALhouse_mesh3797,82,56,-0.0213
RESIDENTIALhouse_mesh3799,467,248,-0.0395
RESIDENTIALhouse_mesh3801,1373,504,-0.0587
RESIDENTIALhouse_mesh3802,5210,464,-0.2183
RESIDENTIALhouse_mesh3805,6369,597,-0.2072
RESIDENTIALhouse_mesh3844,2198,597,-0.1151
RESIDENTIALhouse_mesh3855,168,91,-0.0069
RESIDENTIALhouse_mesh3857,922,762,-0.0207
RESIDENTIALhouse_mesh3868,102,57,-0.0087
RESIDENTIALhouse_mesh3872,6565,915,-0.1709
RESIDENTIALhouse_mesh3873,233,164,-0.0158
RESIDENTIALhouse_mesh3877,22538,1508,-0.2780
RESIDENTIALhouse_mesh3881,18753,1174,-0.3591
RESIDENTIALhouse_mesh3901,3577,464,-0.1364
RESIDENTIALhouse_mesh3903,369,227,-0.0143
RESIDENTIALhouse_mesh3907,971,582,-0.0345
RESIDENTIALhouse_mesh3939,3022,846,-0.0493
RESIDENTIALhouse_mesh3971,2015,1029,-0.0186
RESIDENTIALhouse_mesh3973,1913,456,-0.1181
RESIDENTIALhouse_mesh3979,284,168,-0.0094
RESIDENTIALhouse_mesh3982,816,316,-0.0650
RESIDENTIALhouse_mesh3983,569,281,-0.0470
RESIDENTIALhouse_mesh3994,896,357,-0.0167
RESIDENTIALhouse_mesh4021,24610,1305,-0.3856
RESIDENTIALhouse_mesh4033,5709,931,-0.2072
RESIDENTIALhouse_mesh4045,834,282,-0.0591
RESIDENTIALhouse_mesh4048,251,141,-0.0102
RESIDENTIALhouse_mesh4049,4891,822,-0.1798
RESIDENTIALhouse_mesh4067,3745,714,-0.1250
RESIDENTIALhouse_mesh4092,1575,231,-0.1209
RESIDENTIALhouse_mesh4117,157,90,-0.0094
RESIDENTIALhouse_mesh4123,3106,1566,-0.0219
RESIDENTIALhouse_mesh4130,1312,528,-0.0527
RESIDENTIALhouse_mesh4151,5505,1359,-0.1246
RESIDENTIALhouse_mesh4158,2776,446,-0.1234
RESIDENTIALhouse_mesh4160,647,323,-0.0165
RESIDENTIALhouse_mesh4162,211,106,-0.0115
RESIDENTIALhouse_mesh4171,4726,468,-0.2133
RESIDENTIALhouse_mesh4177,228,169,-0.0144
RESIDENTIALhouse_mesh4182,228,126,-0.0098
RESIDENTIALhouse_mesh4188,7650,1403,-0.0926
RESIDENTIALhouse_mesh4190,2466,393,-0.0946
RESIDENTIALhouse_mesh4195,183,114,-0.0077
RESIDENTIALhouse_mesh4208,29094,1428,-0.3900
